mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,207,207
4e:67:ff:8e:2b:68,2412,HIPERT,207,207
4e:67:ff:8e:2b:69,2412,VST,202,202
4e:67:ff:8e:2b:6a,2412,SUSTENIE,208,208
4e:67:ff:8e:2b:6b,2412,HANDHY,203,203
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,203,203
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,218,218
4e:65:ff:83:94:66,2412,HIPERT,218,218
4e:65:ff:83:94:67,2412,VST,214,214
4e:67:ff:8e:2b:6d,2412,IDEATIVA,202,202
4e:65:ff:83:94:68,2412,SUSTENIE,214,214
4e:65:ff:83:94:69,2412,HANDHY,214,214
4e:65:ff:83:94:6a,2412,OPEN ENERGY,214,214
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,190,190
4e:3a:ff:83:95:3b,2437,HIPERT,189,189
4e:3a:ff:83:95:3e,2437,HANDHY,191,191
34:60:f9:2a:4:af,2462,hipert-wifi,222,222
36:60:f9:2a:4:af,2462,,220,220
28:87:ba:31:ee:d8,2462,hipert-wifi,202,202
20:97:27:8:52:21,5200,hipert-wifi-pro-5,198,198
4e:3b:ff:83:95:3f,5200,HANDHY,178,178
34:60:f9:2a:4:ae,5220,hipert-wifi,219,219
4e:68:ff:8e:2b:69,5240,HIPERT,194,194
4e:68:ff:8e:2b:6a,5240,VST,194,194
4e:68:ff:8e:2b:6b,5240,SUSTENIE,194,194
4e:68:ff:8e:2b:6c,5240,HANDHY,194,194
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,194,194
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,193,193
4e:68:ff:8e:2b:6e,5240,IDEATIVA,193,193
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,191,191
2a:87:ba:21:ee:d8,2462,,199,199
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,179,179
b0:4e:26:64:50:82,5200,vst-mac_5G,193,193
28:87:ba:31:ee:d9,5220,hipert-wifi,187,187
4e:65:ff:83:94:6b,2412,IDEATIVA,213,213
36:60:f9:2a:4:ae,5220,,219,219
4e:3b:ff:83:95:30,5200,OPEN ENERGY,179,179
4e:3b:ff:83:95:31,5200,IDEATIVA,180,180
4e:3b:ff:83:95:3c,5200,HIPERT,178,178
4e:3b:ff:83:95:3d,5200,VST,177,177
4e:3b:ff:83:95:3e,5200,SUSTENIE,180,180
4e:3a:ff:83:95:3c,2437,VST,187,187
4e:3a:ff:83:95:3d,2437,SUSTENIE,188,188
4e:3a:ff:83:95:30,2437,IDEATIVA,198,198
b0:4e:26:64:50:83,2412,vst-mac,198,198
b6:4e:26:64:50:84,2412,VST-ButterfLife,195,195
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,188,188
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,187,187
4e:eb:ff:8e:2b:ec,2412,HIPERT,185,185
4e:eb:ff:8e:2b:ed,2412,VST,185,185
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,186,186
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,189,189
2a:87:ba:51:ee:d8,5220,,186,186
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,191,191
4e:66:ff:83:94:6c,5180,IDEATIVA,170,170
20:97:27:8:52:20,2437,hipert-wifi-pro,220,220
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,186,186
4c:9e:ff:83:94:66,5180,TECHBOARDGROUP,171,171
4e:66:ff:83:94:67,5180,HIPERT,171,171
4e:66:ff:83:94:68,5180,VST,171,171
4e:66:ff:83:94:69,5180,SUSTENIE,171,171
4e:66:ff:83:94:6a,5180,HANDHY,169,169
4e:66:ff:83:94:6b,5180,OPEN ENERGY,171,171
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,169,169
4e:ec:ff:8e:2b:ee,5200,VST,169,169
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,175,175
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,193,193
4e:eb:ff:8e:2b:ef,2412,HANDHY,187,187
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,186,186
d8:ec:e5:78:81:ee,5220,Interdamo,170,170
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,183,183
