mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,205,205
4e:67:ff:8e:2b:68,2412,HIPERT,206,206
4e:67:ff:8e:2b:69,2412,VST,206,206
4e:67:ff:8e:2b:6a,2412,SUSTENIE,207,207
4e:67:ff:8e:2b:6b,2412,HANDHY,206,206
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,207,207
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,212,212
4e:65:ff:83:94:66,2412,HIPERT,211,211
4e:65:ff:83:94:67,2412,VST,212,212
4e:67:ff:8e:2b:6d,2412,IDEATIVA,205,205
4e:65:ff:83:94:68,2412,SUSTENIE,212,212
4e:65:ff:83:94:69,2412,HANDHY,210,210
4e:65:ff:83:94:6a,2412,OPEN ENERGY,212,212
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,188,188
4e:3a:ff:83:95:3b,2437,HIPERT,187,187
4e:3a:ff:83:95:3e,2437,HANDHY,191,191
34:60:f9:2a:4:af,2462,hipert-wifi,220,220
36:60:f9:2a:4:af,2462,,219,219
28:87:ba:31:ee:d8,2462,hipert-wifi,193,193
20:97:27:8:52:21,5200,hipert-wifi-pro-5,191,191
4e:3b:ff:83:95:3f,5200,HANDHY,174,174
34:60:f9:2a:4:ae,5220,hipert-wifi,214,214
4e:68:ff:8e:2b:69,5240,HIPERT,192,192
4e:68:ff:8e:2b:6a,5240,VST,193,193
4e:68:ff:8e:2b:6b,5240,SUSTENIE,192,192
4e:68:ff:8e:2b:6c,5240,HANDHY,192,192
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,192,192
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,191,191
4e:68:ff:8e:2b:6e,5240,IDEATIVA,192,192
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,188,188
2a:87:ba:21:ee:d8,2462,,193,193
b0:4e:26:64:50:82,5200,vst-mac_5G,188,188
28:87:ba:31:ee:d9,5220,hipert-wifi,183,183
4e:65:ff:83:94:6b,2412,IDEATIVA,212,212
36:60:f9:2a:4:ae,5220,,215,215
4e:3b:ff:83:95:31,5200,IDEATIVA,175,175
4e:3b:ff:83:95:3e,5200,SUSTENIE,174,174
4e:3a:ff:83:95:3c,2437,VST,191,191
4e:3a:ff:83:95:3d,2437,SUSTENIE,188,188
4e:3a:ff:83:95:30,2437,IDEATIVA,198,198
b0:4e:26:64:50:83,2412,vst-mac,195,195
b6:4e:26:64:50:84,2412,VST-ButterfLife,195,195
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,188,188
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,191,191
4e:eb:ff:8e:2b:ec,2412,HIPERT,194,194
4e:eb:ff:8e:2b:ed,2412,VST,189,189
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,186,186
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,191,191
2a:87:ba:51:ee:d8,5220,,183,183
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,191,191
20:97:27:8:52:20,2437,hipert-wifi-pro,212,212
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,186,186
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,174,174
4e:ec:ff:8e:2b:ee,5200,VST,175,175
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,175,175
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,188,188
4e:eb:ff:8e:2b:ef,2412,HANDHY,191,191
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,189,189
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,190,190
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,194,194
4e:46:ff:83:95:4b,2437,OPEN ENERGY,181,181
4e:ec:ff:8e:2b:ed,5200,HIPERT,175,175
4e:ec:ff:8e:2b:e0,5200,HANDHY,175,175
