mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,190,190
4e:67:ff:8e:2b:68,2412,HIPERT,191,191
4e:67:ff:8e:2b:69,2412,VST,192,192
4e:67:ff:8e:2b:6a,2412,SUSTENIE,191,191
4e:67:ff:8e:2b:6b,2412,HANDHY,191,191
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,194,194
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,203,203
4e:65:ff:83:94:66,2412,HIPERT,194,194
4e:65:ff:83:94:67,2412,VST,194,194
4e:67:ff:8e:2b:6d,2412,IDEATIVA,192,192
4e:65:ff:83:94:68,2412,SUSTENIE,201,201
4e:65:ff:83:94:69,2412,HANDHY,203,203
4e:65:ff:83:94:6a,2412,OPEN ENERGY,203,203
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,186,186
4e:3a:ff:83:95:3b,2437,HIPERT,188,188
34:60:f9:2a:4:af,2462,hipert-wifi,201,201
36:60:f9:2a:4:af,2462,,203,203
28:87:ba:31:ee:d8,2462,hipert-wifi,186,186
20:97:27:8:52:21,5200,hipert-wifi-pro-5,175,175
4e:3b:ff:83:95:3f,5200,HANDHY,182,182
34:60:f9:2a:4:ae,5220,hipert-wifi,193,193
4e:68:ff:8e:2b:69,5240,HIPERT,170,170
4e:68:ff:8e:2b:6a,5240,VST,169,169
4e:68:ff:8e:2b:6b,5240,SUSTENIE,169,169
4e:68:ff:8e:2b:6c,5240,HANDHY,170,170
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,171,171
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,171,171
4e:68:ff:8e:2b:6e,5240,IDEATIVA,170,170
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,173,173
2a:87:ba:21:ee:d8,2462,,185,185
b0:4e:26:64:50:82,5200,vst-mac_5G,196,196
28:87:ba:31:ee:d9,5220,hipert-wifi,167,167
4e:65:ff:83:94:6b,2412,IDEATIVA,193,193
36:60:f9:2a:4:ae,5220,,194,194
4e:3b:ff:83:95:31,5200,IDEATIVA,181,181
4e:3a:ff:83:95:3c,2437,VST,189,189
4e:3a:ff:83:95:30,2437,IDEATIVA,184,184
b0:4e:26:64:50:83,2412,vst-mac,212,212
b6:4e:26:64:50:84,2412,VST-ButterfLife,212,212
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,201,201
4e:eb:ff:8e:2b:ec,2412,HIPERT,201,201
4e:eb:ff:8e:2b:ed,2412,VST,203,203
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,202,202
2a:87:ba:51:ee:d8,5220,,167,167
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,202,202
20:97:27:8:52:20,2437,hipert-wifi-pro,206,206
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,194,194
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,191,191
4e:ec:ff:8e:2b:ee,5200,VST,192,192
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,192,192
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,197,197
4e:eb:ff:8e:2b:ef,2412,HANDHY,204,204
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,198,198
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,204,204
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,193,193
4e:46:ff:83:95:4b,2437,OPEN ENERGY,190,190
4e:ec:ff:8e:2b:ed,5200,HIPERT,191,191
4e:ec:ff:8e:2b:e0,5200,HANDHY,192,192
4e:ec:ff:8e:2b:e1,5200,OPEN ENERGY,192,192
4e:ec:ff:8e:2b:e2,5200,IDEATIVA,191,191
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,205,205
4e:46:ff:83:95:47,2437,HIPERT,189,189
4e:46:ff:83:95:48,2437,VST,188,188
de:52:38:ed:d1:fd,2412,jock71,186,186
4e:22:d6:b:f:1c,2437,,184,184
4e:46:ff:83:95:49,2437,SUSTENIE,186,186
4e:c2:ff:8e:2b:c5,5180,SUSTENIE,165,165
4e:c2:ff:8e:2b:c6,5180,HANDHY,168,168
4e:c2:ff:8e:2b:c7,5180,OPEN ENERGY,167,167
4c:9e:ff:83:95:47,5220,TECHBOARDGROUP,174,174
4e:47:ff:83:95:48,5220,HIPERT,174,174
4e:47:ff:83:95:49,5220,VST,174,174
4e:47:ff:83:95:4a,5220,SUSTENIE,174,174
4e:47:ff:83:95:4b,5220,HANDHY,174,174
4e:47:ff:83:95:4c,5220,OPEN ENERGY,174,174
4e:47:ff:83:95:4d,5220,IDEATIVA,174,174
4e:46:ff:83:95:4c,2437,IDEATIVA,184,184
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,187,187
5e:fb:3a:a9:33:f4,2437,DIRECT-f4-HP M209 LaserJet,186,186
4c:9e:ff:83:95:46,2437,TECHBOARDGROUP,187,187
4e:46:ff:83:95:4a,2437,HANDHY,189,189
4c:9e:ff:8e:2b:c1,2462,TECHBOARDGROUP,186,186
4e:c2:ff:8e:2b:c3,5180,HIPERT,166,166
